ITALIANO,BRESCIANO,categoria,Bresciano_,Column1
Achillea millefoglie,Trementina,botanica,trementina,10
Acidita (punta di a.),Pii,,pii,3
Acidita del vino,Rasent,,rasent,6
Acino,Gra,,gra,3
Acino dell'uva che si matura,Tirlu,arcaico,tirlu,5
Aconito,Mapel,,mapel,5
Acqua,Acqua,,acqua,5
Acqua,Aigua,,aigua,5
Acqua,Aiva,,aiva,4
Acqua,Mem,"daddolo,smanceria",mem,3
Acqua bollente aromatizzata,Buintu,,buintu,6
Acqua bollente aromatizzata,Sbroentu,,sbroentu,8
Acqua inamidata,Salda,arcaico,salda,5
Acquaiolo,Aquarol,arcaico,aquarol,7
Acquasantiera,Segnarol,,segnarol,8
Acquattarsi,Quacias,,quacias,7
Acquavite,Grapa,,grapa,5
Acquazzone,Aquada,,aquada,6
Acquazzone,Daquada,,daquada,7
Acquazzone,Sguasada,,sguasada,8
Acquazzone,Squasadu,,squasadu,8
Acquazzone,Aiguere,arcaico,aiguere,7
Acquedotto,Aival,arcaico,aival,5
Acquistare,Spesa,,spesa,5
Acquisto,Spesa,,spesa,5
Acquisto,Aquest,arcaico,aquest,6
Acquitrino,Sguas,,sguas,5
Adacquare,Daqua,,daqua,5
Adagino,Abelazi,,abelazi,7
Adagio,Abelaze,,abelaze,7
Addentare,Sgagna,,sgagna,6
Addiaccio,Mares,,mares,5
Addirittura,Adiritura,,adiritura,9
Addobbatore,Paradur,arcaico,paradur,7
Addolcire,Smolzina,figurativo,smolzina,8
Addolcire,endolseser,,endolseser,10
Addomesticato,Dumistighi,,dumistighi,10
Addormentato,endormet,,endormet,8
Adenite,Gandosa,,gandosa,7
Aderente,Sfranzat,,sfranzat,8
Adescare,envisia,,envisia,7
Adesso,Ura,,ura,3
ITALIANO,BRESCIANO,categoria,bresciano,9
Agave,Tasina,botanica,tasina,6
Agganciarsi,Taca denter,,taca denter,11
Aggeggi,Argagn,,argagn,6
Aggeggi,Trapei,,trapei,6
Aggeggi,Patuei,arcaico,patuei,6
Aggeggio malsicuro,Trabacol,,trabacol,8
Aggiungere,Zonta,,zonta,5
Aggiungere,Zontaga,,zontaga,7
Aggiunta,Riciuchi,,riciuchi,8
Aggiunta,Zonta,,zonta,5
Aggredisce,Bor,,bor,3
Agguato,Balzel,arcaico,balzel,6
Aghi da calza,Uce,,uce,3
Agio,Aze,,aze,3
Aglio,Ai,botanica,ai,2
Aglio bianco,Bigol d'ai,botanica,bigol d'ai,10
Aglio selvatico,Ai de fos,botanica,ai de fos,9
Aglio selvatico,Ai selvadech,botanica,ai selvadech,12
Aglio selvatico,Ai ursi,botanica,ai ursi,7
Agnellino,Bosari,,bosari,6
Agnellino,Beri,,beri,4
Agnello castrato,Castru,,castru,6
Agnello Grasso,Ris gras,botanica,ris gras,8
Ago,Ucia,,ucia,4
Agone,Agu,pesce-pesca,agu,3
Agone,Sardela,pesce-pesca,sardela,7
Agonia,Tira j-oltem,,tira j-oltem,12
Agoraio (porta aghi),Uciarol,,uciarol,7
Agostano,Osta,,osta,4
Agostano,Ostanel,,ostanel,7
Agrifoglio,Scamfoi,botanica,scamfoi,7
Agrifoglio,Pamfoi,botanica,pamfoi,6
Agrifoglio,sgionfoi,botanica,sgionfoi,8
Agrifoglio,Virdo,botanica,virdo,5
Agrimonia,Botanega,botanica,botanega,8
Agrimonia,Erba manzunera,botanica,erba manzunera,14
